"","Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","agebin","agebin_small","logfreq","freqbin","wordlen","cvc","bin"
"30595","who",22,22,"2222.94",3.81,1.41,1,"(3.5,4]","(3.75,4]",3.34692774069243,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
"24517","she",22,22,"3732.88",3.57,1.39,1,"(3.5,4]","(3.5,3.75]",3.57204402898993,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
"18709","off",21,21,"1179.51",3.83,2.09,1,"(3.5,4]","(3.75,4]",3.0717016272279,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
"36581","by",20,20,"1340.47",5.41,1.5,1,"(5,5.5]","(5.25,5.5]",3.12725709882599,"(3,4]",2,FALSE,"(5,5.5].(3,4].2"
"10744","for",22,22,"6895.10",4.39,1.97,1,"(4,4.5]","(4.25,4.5]",3.83854056915339,"(3,4]",3,TRUE,"(4,4.5].(3,4].3"
"15912","little",19,19,"1446.39",3.95,1.87,1,"(3.5,4]","(3.75,4]",3.16028541053185,"(3,4]",6,FALSE,"(3.5,4].(3,4].6"
"19902","people",21,21,"1102.98",3.52,1.6,1,"(3.5,4]","(3.5,3.75]",3.04256763758218,"(3,4]",6,FALSE,"(3.5,4].(3,4].6"
"3626","but",21,21,"4417.47",4.6,2.45,1,"(4.5,5]","(4.5,4.75]",3.64517360880049,"(3,4]",3,TRUE,"(4.5,5].(3,4].3"
"12761","here",21,21,"4525.25",3.74,1.94,1,"(3.5,4]","(3.5,3.75]",3.65564257704869,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"163551","make",19,19,"1387.75",4.68,1.77,1,"(4.5,5]","(4.5,4.75]",3.1423112360039,"(3,4]",4,FALSE,"(4.5,5].(3,4].4"
"18248","no",21,21,"5971.55",2.72,1.94,1,NA,NA,3.77608707301811,"(3,4]",2,FALSE,NA
"18797","only",21,21,"1083.71",4.95,2.27,1,"(4.5,5]","(4.75,5]",3.03491308086501,"(3,4]",4,FALSE,"(4.5,5].(3,4].4"
"23287","right",22,22,"4008.39",4.35,1.59,1,"(4,4.5]","(4.25,4.5]",3.6029699699969,"(3,4]",5,FALSE,"(4,4.5].(3,4].5"
"30522","where",21,21,"1830.22",4.09,2.06,1,"(4,4.5]","(4,4.25]",3.26250329685794,"(3,4]",5,FALSE,"(4,4.5].(3,4].5"
"253841","some",21,21,"1727.24",4.85,2.44,1,"(4.5,5]","(4.75,5]",3.23735268697909,"(3,4]",4,FALSE,"(4.5,5].(3,4].4"
"187091","off",21,21,"1179.51",3.83,2.09,1,"(3.5,4]","(3.75,4]",3.0717016272279,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
"181361","never",22,22,"1362.55",5.07,2.21,1,"(5,5.5]","(5,5.25]",3.13435244806844,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"180201","need",18,18,"1294.90",3.56,1.34,1,"(3.5,4]","(3.5,3.75]",3.11223623086894,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"16041","at",22,21,"3217.10",4.04,1.37,0.95,"(4,4.5]","(4,4.25]",3.50746456067605,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"20535","please",21,21,"1100.96",3.48,1.22,1,"(3,3.5]","(3.25,3.5]",3.04177154050232,"(3,4]",6,FALSE,"(3,3.5].(3,4].6"
"27517","think",20,20,"2691.39",4.75,1.55,1,"(4.5,5]","(4.5,4.75]",3.4299766344325,"(3,4]",5,FALSE,"(4.5,5].(3,4].5"
"27513","thing",19,19,"1088.67",4.58,1.61,1,"(4.5,5]","(4.5,4.75]",3.03689625542323,"(3,4]",5,FALSE,"(4.5,5].(3,4].5"
"27455","then",20,20,"1489.53",6.74,3.51,1,"(6.5,7]","(6.5,6.75]",3.17304925458245,"(3,4]",4,FALSE,"(6.5,7].(3,4].4"
"187092","off",21,21,"1179.51",3.83,2.09,1,"(3.5,4]","(3.75,4]",3.0717016272279,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
"16417","man",19,19,"1845.75",3.11,1.24,1,"(3,3.5]","(3,3.25]",3.2661728770945,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
"190101","out",21,21,"3865.31",3.28,1.56,1,"(3,3.5]","(3.25,3.5]",3.58718433030881,"(3,4]",3,FALSE,"(3,3.5].(3,4].3"
