,Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,agebin,agebin_small,logfreq,freqbin,wordlen,cvc,bin
12183,gun,19,19,213.2,5.58,2.52,1,"(5.5,6]","(5.5,5.75]",2.3287872,"(2,3]",3,TRUE,"(5.5,6].(2,3].3"
16507,map,20,20,31.82,5.6,2.06,1,"(5.5,6]","(5.5,5.75]",1.502700175,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
18261,nod,21,21,3.98,5.62,2.91,1,"(5.5,6]","(5.5,5.75]",0.599883072,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
9948,fan,19,19,35.14,5.63,2.54,1,"(5.5,6]","(5.5,5.75]",1.545801757,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
10089,fed,20,20,15.88,5.68,2.66,1,"(5.5,6]","(5.5,5.75]",1.200850498,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
7164,den,21,20,6.12,5.7,1.66,0.95,"(5.5,6]","(5.5,5.75]",0.786751422,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
12935,hog,20,20,5.12,5.7,2.27,1,"(5.5,6]","(5.5,5.75]",0.709269961,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
10391,fit,19,19,57.59,5.74,1.66,1,"(5.5,6]","(5.5,5.75]",1.760347079,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
19378,pal,19,19,57.59,5.74,2.54,1,"(5.5,6]","(5.5,5.75]",1.760347079,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
2348,beg,18,18,50.98,5.78,2.32,1,"(5.5,6]","(5.75,6]",1.707399831,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
3532,bun,19,19,2.88,5.79,2.74,1,"(5.5,6]","(5.75,6]",0.459392488,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
13224,hum,22,22,4.82,5.8,2.24,1,"(5.5,6]","(5.75,6]",0.683047038,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
15002,jug,18,18,2.63,5.83,1.86,1,"(5.5,6]","(5.75,6]",0.419955748,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
27104,tap,19,19,14.75,5.84,2.87,1,"(5.5,6]","(5.75,6]",1.16879202,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
15735,lid,20,20,4.92,5.95,3.09,1,"(5.5,6]","(5.75,6]",0.691965103,"(0,1]",3,TRUE,"(5.5,6].(0,1].3"
20896,pot,19,19,22.53,5.95,3.99,1,"(5.5,6]","(5.75,6]",1.352761192,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
23514,rub,19,19,15.45,6,2.89,1,"(5.5,6]","(5.75,6]",1.188928484,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
24419,set,19,18,231.47,6,3.03,0.95,"(5.5,6]","(5.75,6]",2.364494712,"(2,3]",3,TRUE,"(5.5,6].(2,3].3"
23320,rip,18,18,20.16,6.11,3.41,1,"(6,6.5]","(6,6.25]",1.304490528,"(1,2]",3,TRUE,"(6,6.5].(1,2].3"
20407,pit,21,21,13.22,6.14,2.37,1,"(6,6.5]","(6,6.25]",1.121231455,"(1,2]",3,TRUE,"(6,6.5].(1,2].3"
2924,bob,21,20,91.49,6.16,1.97,0.95,"(6,6.5]","(6,6.25]",1.961373628,"(1,2]",3,TRUE,"(6,6.5].(1,2].3"
12879,hip,18,18,15.41,6.17,2.64,1,"(6,6.5]","(6,6.25]",1.187802639,"(1,2]",3,TRUE,"(6,6.5].(1,2].3"
10657,fog,19,19,9.45,6.21,2.2,1,"(6,6.5]","(6,6.25]",0.975431809,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
11240,gal,19,19,14.22,6.21,3.34,1,"(6,6.5]","(6,6.25]",1.152899596,"(1,2]",3,TRUE,"(6,6.5].(1,2].3"
14945,jog,19,19,2.41,6.21,2.68,1,"(6,6.5]","(6,6.25]",0.382017043,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
16081,lot,20,20,569.92,6.26,2.25,1,"(6,6.5]","(6.25,6.5]",2.755813898,"(2,3]",3,TRUE,"(6,6.5].(2,3].3"
23247,rib,20,20,5.9,6.3,1.75,1,"(6,6.5]","(6.25,6.5]",0.770852012,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
3068,bop,19,16,1.84,6.31,2.77,0.84,"(6,6.5]","(6.25,6.5]",0.264817823,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
24882,sir,19,19,964.47,6.37,3.04,1,"(6,6.5]","(6.25,6.5]",2.984288723,"(2,3]",3,TRUE,"(6,6.5].(2,3].3"
12731,hen,18,18,3.2,6.39,2.81,1,"(6,6.5]","(6.25,6.5]",0.505149978,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
2681,bit,19,19,235.04,6.47,2.55,1,"(6,6.5]","(6.25,6.5]",2.371141778,"(2,3]",3,TRUE,"(6,6.5].(2,3].3"
10205,fib,18,18,1.27,6.5,2.57,1,"(6,6.5]","(6.25,6.5]",0.103803721,"(0,1]",3,TRUE,"(6,6.5].(0,1].3"
15201,kit,20,20,17.65,6.55,2.76,1,"(6.5,7]","(6.5,6.75]",1.24674471,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
26391,sub,20,20,7.65,6.55,1.88,1,"(6.5,7]","(6.5,6.75]",0.883661435,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
14841,jam,18,18,13.53,6.56,4,1,"(6.5,7]","(6.5,6.75]",1.131297797,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
31076,zap,18,18,2.45,6.56,2.45,1,"(6.5,7]","(6.5,6.75]",0.389166084,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
6710,dam,19,19,5.75,6.58,1.54,1,"(6.5,7]","(6.5,6.75]",0.759667845,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
6682,dab,18,18,1.12,6.72,2.4,1,"(6.5,7]","(6.5,6.75]",0.049218023,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
15987,log,19,19,11.96,6.74,3.18,1,"(6.5,7]","(6.5,6.75]",1.07773118,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
24852,sin,19,19,15.94,6.74,2.62,1,"(6.5,7]","(6.5,6.75]",1.202488317,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
23266,rid,20,19,59.84,6.79,2.3,0.95,"(6.5,7]","(6.75,7]",1.776991585,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
27692,tin,19,19,8.65,6.79,2.32,1,"(6.5,7]","(6.75,7]",0.937016107,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
19834,peg,22,21,36.41,6.83,2.29,0.95,"(6.5,7]","(6.75,7]",1.561220679,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
2079,bar,21,21,85.98,6.9,2.62,1,"(6.5,7]","(6.75,7]",1.934397441,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
3670,cab,18,18,35.8,6.94,2.86,1,"(6.5,7]","(6.75,7]",1.553883027,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
2481,bet,19,19,171.82,7,2.43,1,"(6.5,7]","(6.75,7]",2.235073715,"(2,3]",3,TRUE,"(6.5,7].(2,3].3"
7652,dip,21,21,7.96,7,2.81,1,"(6.5,7]","(6.75,7]",0.900913068,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
18082,net,21,21,15.55,7,2.9,1,"(6.5,7]","(6.75,7]",1.191730393,"(1,2]",3,TRUE,"(6.5,7].(1,2].3"
27901,tot,18,18,1.06,7,3.24,1,"(6.5,7]","(6.75,7]",0.025305865,"(0,1]",3,TRUE,"(6.5,7].(0,1].3"
3455,bud,20,20,35.45,7.01,1.5,1,"(7,7.5]","(7,7.5]",1.54961624,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
27077,tan,21,21,8.61,7.05,3.14,1,"(7,7.5]","(7,7.5]",0.935003151,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
7607,dim,18,18,4.76,7.06,2.62,1,"(7,7.5]","(7,7.5]",0.677606953,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
26593,sum,20,20,10.25,7.1,1.29,1,"(7,7.5]","(7,7.5]",1.010723865,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
12222,gut,18,18,9.75,7.17,3,1,"(7,7.5]","(7,7.5]",0.989004616,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
11403,gel,19,19,1.63,7.21,3.26,1,"(7,7.5]","(7,7.5]",0.212187604,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
27118,tar,19,18,3.14,7.22,2.62,0.95,"(7,7.5]","(7,7.5]",0.496929648,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
23376,rob,18,18,23.29,7.28,2.78,1,"(7,7.5]","(7,7.5]",1.367169489,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
10289,fin,21,20,3.41,7.3,3.36,0.95,"(7,7.5]","(7,7.5]",0.532754379,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
15326,lad,18,17,14.43,7.35,2.18,0.94,"(7,7.5]","(7,7.5]",1.159266331,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
23392,rod,19,19,10.73,7.42,3.13,1,"(7,7.5]","(7,7.5]",1.030599722,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
27813,ton,19,19,7.49,7.42,2.36,1,"(7,7.5]","(7,7.5]",0.874481818,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
17755,mum,19,19,21.73,7.47,4.13,1,"(7,7.5]","(7,7.5]",1.337059726,"(1,2]",3,TRUE,"(7,7.5].(1,2].3"
22511,ref,18,16,2.53,7.5,2.31,0.89,"(7,7.5]","(7,7.5]",0.403120521,"(0,1]",3,TRUE,"(7,7.5].(0,1].3"
6046,cot,19,19,2,7.53,2.32,1,"(7.5,8]","(7.5,8]",0.301029996,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
23765,sap,19,19,3.49,7.53,3.64,1,"(7.5,8]","(7.5,8]",0.542825427,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
23459,rot,21,21,7.73,7.57,2.27,1,"(7.5,8]","(7.5,8]",0.888179494,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
11229,gag,19,19,7.06,7.58,3.1,1,"(7.5,8]","(7.5,8]",0.848804701,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
11409,gem,19,19,2.47,7.68,2.81,1,"(7.5,8]","(7.5,8]",0.392696953,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
21778,pus,18,18,1,7.78,1.99,1,"(7.5,8]","(7.5,8]",0,NA,3,TRUE,NA
29940,vet,18,18,5.8,7.78,4.47,1,"(7.5,8]","(7.5,8]",0.763427994,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
15156,kin,19,18,4.27,7.83,5.19,0.95,"(7.5,8]","(7.5,8]",0.630427875,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
18231,nip,19,18,3.24,7.94,3.11,0.95,"(7.5,8]","(7.5,8]",0.51054501,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
20624,pod,20,19,8,7.95,3.87,0.95,"(7.5,8]","(7.5,8]",0.903089987,"(0,1]",3,TRUE,"(7.5,8].(0,1].3"
23303,rim,19,19,2.45,8.05,2.66,1,"(8,8.5]","(8,8.5]",0.389166084,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
10251,fig,18,18,1.22,8.06,2.82,1,"(8,8.5]","(8,8.5]",0.086359831,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
27629,tic,18,17,1.51,8.06,3.6,0.94,"(8,8.5]","(8,8.5]",0.178976947,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
13308,hut,20,20,13.22,8.1,2.49,1,"(8,8.5]","(8,8.5]",1.121231455,"(1,2]",3,TRUE,"(8,8.5].(1,2].3"
3520,bum,19,19,15.43,8.11,3.3,1,"(8,8.5]","(8,8.5]",1.188365926,"(1,2]",3,TRUE,"(8,8.5].(1,2].3"
11303,gap,18,18,4.27,8.22,1.93,1,"(8,8.5]","(8,8.5]",0.630427875,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
22077,ram,19,19,6.43,8.32,3.33,1,"(8,8.5]","(8,8.5]",0.808210973,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
18522,nun,18,18,6.96,8.39,3.29,1,"(8,8.5]","(8,8.5]",0.84260924,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
14806,jab,19,19,3.35,8.42,1.84,1,"(8,8.5]","(8,8.5]",0.525044807,"(0,1]",3,TRUE,"(8,8.5].(0,1].3"
8104,doc,19,17,80.82,8.53,4.93,0.89,"(8.5,9]","(8.5,9]",1.907518846,"(1,2]",3,TRUE,"(8.5,9].(1,2].3"
8464,dud,20,20,1.25,8.55,2.72,1,"(8.5,9]","(8.5,9]",0.096910013,"(0,1]",3,TRUE,"(8.5,9].(0,1].3"
8475,duh,20,19,3.98,8.58,5.01,0.95,"(8.5,9]","(8.5,9]",0.599883072,"(0,1]",3,TRUE,"(8.5,9].(0,1].3"
18403,nor,21,21,35.98,8.61,2.16,1,"(8.5,9]","(8.5,9]",1.556061159,"(1,2]",3,TRUE,"(8.5,9].(1,2].3"
20952,pox,19,18,1.47,8.61,2.66,0.95,"(8.5,9]","(8.5,9]",0.167317335,"(0,1]",3,TRUE,"(8.5,9].(0,1].3"
19915,per,21,21,22.37,8.66,1.67,1,"(8.5,9]","(8.5,9]",1.349665984,"(1,2]",3,TRUE,"(8.5,9].(1,2].3"
14917,jig,20,20,1.71,8.7,3.21,1,"(8.5,9]","(8.5,9]",0.23299611,"(0,1]",3,TRUE,"(8.5,9].(0,1].3"
15296,lab,21,21,39.61,8.71,2.9,1,"(8.5,9]","(8.5,9]",1.597804842,"(1,2]",3,TRUE,"(8.5,9].(1,2].3"
