STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
excort	4197.11	311.17	768.67	31.40	134.23	6.00
exenke	4357.94	352.17	320.93	27.00	1.23	0.75
expere	5102.82	405.67	944.02	64.40	131.66	8.75
expome	4288.85	310.50	479.82	19.60	178.30	3.50
expong	3887.11	302.00	1181.95	76.60	103.96	4.50
expoue	4320.21	328.17	365.92	27.20	53.47	3.00
expply	4013.67	342.67	1290.85	64.20	163.35	5.75
extiss	5855.07	650.33	505.76	45.00	35.49	2.75
extted	8856.09	806.50	3053.70	268.20	569.33	47.50
fabors	6460.64	773.83	1010.54	76.80	96.60	9.00
facerd	7445.18	677.67	763.86	69.80	27.71	3.50
facids	6974.65	836.67	672.51	52.00	71.85	8.25
facind	8460.05	751.00	1759.93	103.20	158.27	8.00
faffic	3507.99	389.17	445.30	40.40	3.79	4.25
faimed	9577.60	995.00	2376.93	235.80	199.60	16.50
falose	6957.94	594.50	925.28	59.40	42.49	6.00
famech	5388.81	490.17	737.34	49.40	139.54	4.25
famicy	6530.94	614.17	797.54	47.80	234.12	4.75
fanger	8854.25	959.50	2248.93	213.40	287.81	26.75
fanthy	5707.17	586.67	841.06	67.00	158.34	8.25
fapets	6306.89	827.33	675.24	85.60	38.22	9.75
farase	7299.18	659.50	927.65	79.80	71.60	6.00
farnds	6749.43	825.50	904.79	79.20	124.16	10.00
farved	10022.10	1013.00	2572.32	262.20	105.11	12.50
fathen	8784.89	853.50	1732.38	86.20	708.75	11.75
fatuls	8125.36	822.00	1099.43	66.60	141.37	3.00
faunoo	4574.51	470.83	486.20	37.20	8.91	4.50
fauper	8654.99	913.00	1858.03	176.80	54.11	12.25
fausth	4395.16	482.67	560.49	42.00	48.61	4.00
favidy	5895.32	581.50	752.61	39.00	122.17	4.50
fayide	6954.93	604.17	606.41	31.20	152.90	3.50
feftly	7184.81	556.50	1296.18	66.20	75.82	6.00
fehore	7305.04	509.67	1017.66	36.40	258.70	3.50
felupt	5792.58	444.33	270.31	29.80	18.93	2.25
feolef	8778.44	805.50	697.92	58.40	10.08	3.00
filang	5201.08	497.67	1127.47	102.20	52.86	4.50
fimeng	5743.37	498.33	1337.37	94.40	83.27	2.50
finght	4347.42	437.17	751.30	62.60	263.02	14.25
fingor	5129.41	520.00	582.46	63.40	90.56	10.00
finyen	7262.08	776.17	611.95	66.80	29.94	3.00
firker	8753.56	900.33	2072.34	196.00	163.31	23.00
fiturt	5963.78	452.50	890.55	39.40	156.67	2.75
fivicy	5525.39	506.83	744.05	39.00	165.75	4.00
fiving	5934.33	514.83	2144.73	147.40	1263.73	71.75
fladle	6490.05	532.50	1171.81	98.00	91.71	16.00
flarde	5196.23	465.17	482.95	61.00	31.06	9.00
focaic	4284.03	442.67	620.74	46.80	4.24	1.75
foceas	6618.78	802.00	533.61	47.00	0.00	0.00
fokele	7682.34	595.50	1333.83	80.40	47.10	1.50
foldlf	5375.11	472.83	613.41	43.80	63.85	5.25
fomerk	5246.76	472.33	679.73	64.80	90.73	3.75
fondal	4680.60	497.67	914.93	67.00	140.76	7.50
formar	6024.87	594.33	710.72	59.00	293.22	10.00
forord	7939.58	669.67	1073.99	62.80	199.98	8.75
fotter	9925.49	942.67	2865.55	222.80	693.55	44.50
fottum	5184.20	454.83	904.80	49.40	60.95	5.25
founte	6480.74	572.17	819.50	63.20	137.21	9.75
fourge	6244.50	513.83	964.79	50.60	266.74	7.00
fourse	6288.40	539.83	1082.88	53.60	529.46	8.50
fousie	5982.84	548.00	651.89	49.40	69.40	6.25
fracot	4438.75	445.67	396.69	52.00	49.07	6.50
franat	4807.43	496.17	514.73	63.20	93.18	8.00
frasen	7385.30	814.83	866.39	109.00	66.68	11.00
frated	9513.70	963.17	2811.30	290.80	386.75	43.25
frcars	5458.02	697.67	530.29	72.00	7.39	6.25
freams	4832.11	669.83	490.91	56.20	141.86	12.75
frevit	3777.07	397.50	361.36	42.20	47.15	3.00
frgrgs	4611.48	612.67	376.82	19.00	0.00	0.00
fridop	3443.52	369.50	508.34	47.80	90.65	5.75
