STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
inling	5198.53	445.33	2048.07	151.40	958.96	70.25
innure	5606.00	413.83	874.94	39.60	190.11	7.00
insiet	8124.76	792.50	920.57	79.60	168.02	7.00
insing	5287.50	443.17	2129.97	151.80	1079.76	72.50
insuld	6313.21	467.33	799.23	31.40	363.72	5.25
intist	5364.12	418.17	734.88	72.40	91.84	10.50
inverb	3191.53	275.83	519.47	65.80	55.37	10.75
invind	6390.09	522.67	1756.32	103.00	335.88	8.75
inving	4860.69	393.33	2128.12	148.40	1180.19	71.50
israid	4969.17	476.67	264.31	28.00	88.44	3.00
issain	2912.73	317.00	307.99	27.80	74.37	4.50
itsely	5323.93	445.50	1240.96	63.00	467.85	11.00
itsers	5291.79	638.83	730.48	84.00	370.61	37.50
itsets	4932.11	639.50	526.53	64.40	160.12	10.25
jarked	9649.75	990.50	2655.29	275.20	535.94	34.50
jermth	5011.56	443.00	460.26	33.60	54.11	3.75
jethod	6996.43	519.83	723.30	29.60	69.03	4.50
jeways	5165.58	632.17	474.45	22.80	353.70	6.75
johnic	3384.81	346.50	181.19	24.20	32.66	2.75
joings	5698.39	707.83	633.13	44.20	376.84	12.25
judded	7584.19	819.33	2212.56	243.80	204.61	27.00
juddly	4310.45	434.83	920.54	71.20	132.36	14.25
junges	7601.64	1025.17	1075.84	178.80	177.05	24.75
kisues	8475.90	1010.00	940.14	140.80	72.61	6.00
kisure	5969.50	465.33	916.08	43.40	205.87	7.75
knited	8393.32	837.00	2633.86	257.00	416.06	37.00
labers	6718.19	806.83	713.78	104.20	278.78	36.75
labies	10156.40	1198.50	1098.18	168.40	239.16	15.50
labody	5198.75	493.00	408.10	38.20	198.24	4.50
lacame	6350.35	549.83	592.94	44.40	157.05	5.00
laddes	8966.25	1108.50	1164.74	185.60	97.84	18.25
laddle	7240.05	598.67	1177.41	95.80	140.19	19.50
laddly	6091.65	567.50	1040.42	85.80	129.75	14.50
langer	8943.29	948.33	2139.97	219.00	294.77	28.25
larear	7043.18	687.17	881.50	83.60	164.47	8.50
larels	8634.19	928.83	1136.69	114.00	200.91	16.75
largle	8208.23	674.33	1370.30	115.60	101.70	12.75
larrow	5373.52	511.83	679.32	76.60	126.15	14.00
lartle	8934.65	717.33	1649.35	121.40	419.56	17.75
lathin	5492.14	484.33	1131.16	59.60	391.18	7.00
leades	10070.26	1136.17	1493.36	191.40	176.60	19.25
leally	7316.23	610.50	1492.92	91.60	502.10	12.00
lealms	6638.64	752.83	707.76	55.40	247.37	9.00
learee	10559.84	948.17	915.71	81.60	264.94	19.50
leasts	6736.07	793.17	878.96	102.20	193.17	17.75
leture	8280.35	536.17	1117.16	48.20	382.11	8.25
levady	5359.08	458.33	270.64	31.80	28.96	3.75
levern	6215.68	485.17	560.79	68.40	127.27	14.25
libbed	8335.33	843.67	2285.21	227.00	38.67	20.25
ligger	7733.36	809.50	2089.78	192.40	199.12	25.25
